id_ciudad;nombre;provincia;pais;region
1;Juan Jose Castelli;Chaco;Argentina;NEA
2;Miraflores;Chaco;Argentina;NEA
3;P. Roque Saenz PeÇña;Chaco;Argentina;NEA
4;Resistencia;Chaco;Argentina;NEA
5;Quitilipi;Chaco;Argentina;NEA
6;Fuerte Esperanza;Chaco;Argentina;NEA
7;Las Palmas;Chaco;Argentina;NEA
8;Charata;Chaco;Argentina;NEA
9;Villa Angela;Chaco;Argentina;NEA
10;Las Garcitas;Chaco;Argentina;NEA
11;Isla del Cerrito;Chaco;Argentina;NEA
12;Coronel Du Graty;Chaco;Argentina;NEA
13;Samuh£;Chaco;Argentina;NEA
15;Basail;Chaco;Argentina;NEA
16;Puerto Vilelas;Chaco;Argentina;NEA
17;Barranqueras;Chaco;Argentina;NEA
18;General Capdevila;Chaco;Argentina;NEA
19;San Bernardo;Chaco;Argentina;NEA
20;Puerto Bermejo;Chaco;Argentina;NEA
21;P. de la Plaza;Chaco;Argentina;NEA
22;Gral. San Mart¡n;Chaco;Argentina;NEA
23;Presidencia Roca;Chaco;Argentina;NEA
24;Pampa del Indio;Chaco;Argentina;NEA
25;Tres Isletas;Chaco;Argentina;NEA
26;V. R¡o Bermejito;Chaco;Argentina;NEA
27;M. Nueva Pompeya;Chaco;Argentina;NEA
28;El Sauzalito;Chaco;Argentina;NEA
29;Colonia Benitez;Chaco;Argentina;NEA
30;Colonias Elisa;Chaco;Argentina;NEA
31;General Vedia;Chaco;Argentina;NEA
32;Chorotis;Chaco;Argentina;NEA
33;Santa Sylvina;Chaco;Argentina;NEA
34;Hermoso Campo;Chaco;Argentina;NEA
35;Fontana;Chaco;Argentina;NEA
36;Cote Lai;Chaco;Argentina;NEA
37;Enrique Urien;Chaco;Argentina;NEA
38;Puerto Tirol;Chaco;Argentina;NEA
39;Charadai;Chaco;Argentina;NEA
40;Colonia Popular;Chaco;Argentina;NEA
41;Margarita Bel‚n;Chaco;Argentina;NEA
42;La Leonesa;Chaco;Argentina;NEA
43;Makall‚;Chaco;Argentina;NEA
44;Laguna Blanca;Chaco;Argentina;NEA
45;Lapachito;Chaco;Argentina;NEA
46;La Clotilde;Chaco;Argentina;NEA
47;Gancedo;Chaco;Argentina;NEA
48;La Escondida;Chaco;Argentina;NEA
49;Villa Berthet;Chaco;Argentina;NEA
50;La Verde;Chaco;Argentina;NEA
51;La Tigra;Chaco;Argentina;NEA
52;General Pinedo;Chaco;Argentina;NEA
53;Capit n Solari;Chaco;Argentina;NEA
54;Charata;Chaco;Argentina;NEA
55;Campo Largo;Chaco;Argentina;NEA
56;Corzuela;Chaco;Argentina;NEA
57;Las Bre¤as;Chaco;Argentina;NEA
58;Puerto Eva Per¢n;Chaco;Argentina;NEA
59;Napenay;Chaco;Argentina;NEA
60;La Eduvigis;Chaco;Argentina;NEA
61;Pampa Almir¢n;Chaco;Argentina;NEA
62;Ciervo Petiso;Chaco;Argentina;NEA
63;Avia Terai;Chaco;Argentina;NEA
64;Laguna Limpia;Chaco;Argentina;NEA
65;Machagai;Chaco;Argentina;NEA
66;Concepci¢n del Bermejo;Chaco;Argentina;NEA
67;Pampa del Infierno;Chaco;Argentina;NEA
68;Los Frentones;Chaco;Argentina;NEA
69;Taco Pozo;Chaco;Argentina;NEA
70;Colonias Unidas;Chaco;Argentina;NEA
